"municipality_code","city","designation","city_resolution_status","city_mapping_flags","representative_postal_code","representative_postal_area","representative_dso_candidate_count","raw_dso_name_from_feed","canonical_operator_name","mapping_basis","monthly_fixed_fee_eur_vat_incl","energy_charge_cents_kwh_vat_incl_excl_electricity_tax","electricity_tax_included","tariff_name","power_charge_eur_kw_month","tariff_snapshot_created_at","comparison_published_at","tariff_status","price_available","tariff_source_url","comparison_source_url","city_source_url","postal_area_source_url","dso_feed_source_url","observed_municipality_dso_names","notes"
"005","Alajärvi","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos","62900","Alajärvi Keskus","2","Alajärven Sähkö Oy","Alajärven Sähkö Oy","exact_feed_name_to_snapshot_name","14.03","5.51","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","snapshot_later_tariff_differs","yes","https://www.alajarvensahko.fi/hinnastomme/","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/alajarvi","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Alajärven Sähkö Oy; Elenia Oy; Lehtimäen Sähkö Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos Tariff note: Snapshot value retained. Official page currently shows a later 1.8.2026 tariff of 15.15 €/month and 5.95 c/kWh. Later tariff differs."
"005","Alajärvi","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos","62900","Alajärvi Keskus","2","Lehtimäen Sähkö Oy","Lehtimäen Sähkö Oy","exact_feed_name_to_snapshot_name","18.92","5.30","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","official_source_not_found","yes","https://www.lehtimaensahko.fi/palvelut/liittymis-ja-myyntiehdot/","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/alajarvi","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Alajärven Sähkö Oy; Elenia Oy; Lehtimäen Sähkö Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos Tariff note: Official operator site located, but no public official 2026 tariff row was found in this pass. Official tariff not found."
"010","Alavus","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos","63300","Alavus Keskus","2","Caruna Oy","Caruna Oy","exact_feed_name_to_snapshot_name","29.71","5.26","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","matched","yes","https://caruna.fi/hinnasto","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/alavus","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Caruna Oy; Koillis-Satakunnan Sähkö Oy; Lehtimäen Sähkö Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos Tariff note: Official page links the 1.1.2026 Caruna Oy tariff. Matched."
"010","Alavus","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos","63300","Alavus Keskus","2","Koillis-Satakunnan Sähkö Oy","Koillis-Satakunnan Sähkö Oy","exact_feed_name_to_snapshot_name","21.12","5.12","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","matched","yes","https://ksat.fi/wp-content/uploads/2025/11/Toimitushinnasto-verkkopalvelu-1.1.2026.pdf","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/alavus","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Caruna Oy; Koillis-Satakunnan Sähkö Oy; Lehtimäen Sähkö Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos Tariff note: Official 1.1.2026 tariff, VAT 25.5%, matching 3x25/1x35 general product. Matched."
"020","Akaa","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos; postal_code_is_proxy_not_exact_centre","37800","Toijala keskus","2","Elenia Oy","Elenia Verkko Oyj","curated_alias_to_snapshot_name","22.79","5.89","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","matched","yes","https://www.elenia.fi/files/3368404e95e6e87870c3efd831994c0a6bf8b693/elenia-pienasiakkaat-hinnasto-4-2026-www-a4-fi-v2.pdf","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/akaa","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Elenia Oy; Valkeakosken Energia Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos; postal_code_is_proxy_not_exact_centre Tariff note: 3x25 A grouped with smaller three-phase fuses; VAT 25.5%; electricity tax separate. Matched, 2026."
"020","Akaa","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos; postal_code_is_proxy_not_exact_centre","37800","Toijala keskus","2","Valkeakosken Energia Oy","Valkeakosken Energia Oy","exact_feed_name_to_snapshot_name","11.95","4.11","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","official_source_not_found","yes","","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/akaa","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Elenia Oy; Valkeakosken Energia Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_has_multiple_centre_postal_areas; municipality_postal_areas_map_to_multiple_dsos; postal_code_is_proxy_not_exact_centre Tariff note: No official tariff PDF/page was confirmed in this pass. Official tariff not found."
"049","Espoo","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos","02770","Espoon Keskus","2","Caruna Espoo Oy","Caruna Espoo Oy","exact_feed_name_to_snapshot_name","8.18","2.77","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","matched","yes","https://caruna.fi/hinnasto","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/espoo","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Caruna Espoo Oy; Caruna Oy; Helen Sähköverkko Oy; Nurmijärven Sähköverkko Oy; Oulun Seudun Sähkö Verkkopalvelut Oy; Vantaan Energia Sähköverkot Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos Tariff note: Official page links the 1.1.2026 Caruna Espoo Oy tariff. Matched."
"049","Espoo","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos","02770","Espoon Keskus","2","Vantaan Energia Sähköverkot Oy","Vantaan Energia Sähköverkot Oy","exact_feed_name_to_snapshot_name","6.00","3.30","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","unverified","yes","https://www.vantaanenergiasahkoverkot.fi/hinnastot/","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/espoo","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Caruna Espoo Oy; Caruna Oy; Helen Sähköverkko Oy; Nurmijärven Sähköverkko Oy; Oulun Seudun Sähkö Verkkopalvelut Oy; Vantaan Energia Sähköverkot Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos Tariff note: Official operator page link is recorded, but the exact 2026 3x25 A row was not extracted in this checkpoint. Unverified official match."
"061","Forssa","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos","30100","Forssa Keskus","4","Caruna Oy","Caruna Oy","exact_feed_name_to_snapshot_name","29.71","5.26","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","matched","yes","https://caruna.fi/hinnasto","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/forssa","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Caruna Oy; Elenia Oy; Forssan Verkkopalvelut Oy; Seiverkot Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos Tariff note: Official page links the 1.1.2026 Caruna Oy tariff. Matched."
"061","Forssa","kaupunki","unresolved","representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos","30100","Forssa Keskus","4","Elenia Oy","Elenia Verkko Oyj","curated_alias_to_snapshot_name","22.79","5.89","no","Yleissiirto / general-transfer (comparison basis)","","2026-05-04","2026-05-06","matched","yes","https://www.elenia.fi/files/3368404e95e6e87870c3efd831994c0a6bf8b693/elenia-pienasiakkaat-hinnasto-4-2026-www-a4-fi-v2.pdf","https://www.sttinfo.fi/files/67340313/72011769/375325/fi","https://www.kuntaliitto.fi/kunnat/forssa","https://geo.stat.fi/geoserver/postialue/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=postialue:pno_2026&outputFormat=application/json&count=5000&propertyName=posti_alue,nimi,kunta,pinta_ala","https://ev-shv-prod-app-wa-consumerapi1.azurewebsites.net/api/getdsocollection","Caruna Oy; Elenia Oy; Forssan Verkkopalvelut Oy; Seiverkot Oy","City mapping: representative_postal_code_multiple_dso_matches; municipality_postal_areas_map_to_multiple_dsos Tariff note: 3x25 A grouped with smaller three-phase fuses; VAT 25.5%; electricity tax separate. Matched, 2026."
